INSTANCE,VCPU,RAM,HOURLY ON DEMAND
c6in.8xlarge,32,64.0,1.8144 
c6a.12xlarge,48,96.0,1.8360 
c6gd.12xlarge,48,96.0,1.8432 
r6gd.8xlarge,32,256.0,1.8432 
c5a.12xlarge,48,96.0,1.8480 
m6g.12xlarge,48,192.0,1.8480 
m7a.8xlarge,32,128.0,1.8547 
h1.8xlarge,32,128.0,1.8720 
m6id.8xlarge,32,128.0,1.8984 
m5n.8xlarge,32,128.0,1.9040 
c5n.9xlarge,36,96.0,1.9440 
m7g.12xlarge,48,192.0,1.9584 
inf2.8xlarge,32,128.0,1.9679 
m5zn.6xlarge,24,96.0,1.9820 
c7gn.8xlarge,32,64.0,1.9968 
d3.4xlarge,16,128.0,1.9980 
m4.10xlarge,40,160.0,2.0000 
r5.8xlarge,32,256.0,2.0160 
r6i.8xlarge,32,256.0,2.0160 
c5.12xlarge,48,96.0,2.0400 
c6i.12xlarge,48,96.0,2.0400 
m5a.12xlarge,48,192.0,2.0640 
c5ad.12xlarge,48,96.0,2.0640 
c6gn.12xlarge,48,96.0,2.0736 
m6a.12xlarge,48,192.0,2.0736 
r5ad.8xlarge,32,256.0,2.0960 
d3en.4xlarge,16,64.0,2.1030 
r7i.8xlarge,32,256.0,2.1168 
r4.8xlarge,32,244.0,2.1280 
c7i.12xlarge,48,96.0,2.1420 
m6gd.12xlarge,48,192.0,2.1696 
g4dn.8xlarge,32,128.0,2.1760 
c6g.16xlarge,64,128.0,2.1760 
m5dn.8xlarge,32,128.0,2.1760 
c6g.metal,64,128.0,2.1760 
r7gd.8xlarge,32,256.0,2.1773 
c7gd.12xlarge,48,96.0,2.1773 
m6in.8xlarge,32,128.0,2.2277 
z1d.6xlarge,24,192.0,2.2320 
g3.8xlarge,32,244.0,2.2800 
m5.12xlarge,48,192.0,2.3040 
r5d.8xlarge,32,256.0,2.3040 
c5d.12xlarge,48,96.0,2.3040 
m6i.12xlarge,48,192.0,2.3040 
is4gen.4xlarge,16,96.0,2.3052 
c7g.16xlarge,64,128.0,2.3200 
c7g.metal,64,128.0,2.3200 
r5n.8xlarge,32,256.0,2.3840 
r5b.8xlarge,32,256.0,2.3840 
r6g.12xlarge,48,384.0,2.4192 
r6id.8xlarge,32,256.0,2.4192 
m7i.12xlarge,48,192.0,2.4192 
c6id.12xlarge,48,96.0,2.4192 
r7a.8xlarge,32,256.0,2.4344 
g5.8xlarge,32,128.0,2.4480 
c6a.16xlarge,64,128.0,2.4480 
c6gd.metal,64,128.0,2.4576 
c6gd.16xlarge,64,128.0,2.4576 
c7a.12xlarge,48,96.0,2.4634 
m6g.metal,64,256.0,2.4640 
m6g.16xlarge,64,256.0,2.4640 
c5a.16xlarge,64,128.0,2.4640 
i4g.8xlarge,32,256.0,2.4710 
m5ad.12xlarge,48,192.0,2.4720 
i3.8xlarge,32,244.0,2.4960 
m6idn.8xlarge,32,128.0,2.5459 
m7gd.12xlarge,48,192.0,2.5628 
r7g.12xlarge,48,384.0,2.5704 
g2.8xlarge,32,60.0,2.6000 
m7g.16xlarge,64,256.0,2.6112 
m7g.metal,64,256.0,2.6112 
r3.8xlarge,32,244.0,2.6600 
r5dn.8xlarge,32,256.0,2.6720 
x2gd.8xlarge,32,512.0,2.6720 
m5d.12xlarge,48,192.0,2.7120 
i3en.6xlarge,24,192.0,2.7120 
r5a.12xlarge,48,384.0,2.7120 
c6i.16xlarge,64,128.0,2.7200 
r6a.12xlarge,48,384.0,2.7216 
c6in.12xlarge,48,96.0,2.7216 
